"Traverse City, MI",11,12
"Santa Fe, NM",11,3
"Elko, NV",11,4
"Chico, CA",11,4
"Deadhorse, AK",11,2
"Valdosta, GA",11,3
"Charlotte, NC",11,395
"Flint, MI",11,14
"Medford, OR",11,12
"Portland, OR",11,143
"Minot, ND",11,5
"Newark, NJ",11,323
"Lewiston, ID",11,2
"Gainesville, FL",11,7
"Pittsburgh, PA",11,108
"Flagstaff, AZ",11,7
"Springfield, IL",11,5
"Branson, MO",11,2
"New Orleans, LA",11,114
"Adak Island, AK",11,1
"Lake Charles, LA",11,3
"Grand Forks, ND",11,7
"Anchorage, AK",11,44
"Bellingham, WA",11,1
"Monroe, LA",11,8
"Chicago, IL",11,1096
"Eau Claire, WI",11,3
"Elmira/Corning, NY",11,3
"San Angelo, TX",11,1
"Indianapolis, IN",11,100
"Key West, FL",11,4
"Redding, CA",11,4
"Ontario, CA",11,68
"Memphis, TN",11,220
"Springfield, MO",11,24
"Tampa, FL",11,184
"Durango, CO",11,9
"Spokane, WA",11,38
"Chattanooga, TN",11,13
"Bloomington/Normal, IL",11,14
"Dallas, TX",11,136
"Madison, WI",11,25
"Oklahoma City, OK",11,64
"San Juan, PR",11,46
"Tunica, MS",11,1
"Juneau, AK",11,11
"Bozeman, MT",11,12
"Montrose/Delta, CO",11,3
"Cheyenne, WY",11,2
"Fort Lauderdale, FL",11,159
"Grand Rapids, MI",11,36
"Corpus Christi, TX",11,24
"Atlanta, GA",11,1183
"Sioux Falls, SD",11,20
"Tallahassee, FL",11,14
"Boise, ID",11,43
"Missoula, MT",11,9
"Florence, SC",11,1
"Cordova, AK",11,2
"Paducah, KY",11,2
"State College, PA",11,3
"Omaha, NE",11,69
"St. Louis, MO",11,173
"Little Rock, AR",11,56
"Philadelphia, PA",11,249
"Manchester, NH",11,38
"Greensboro/High Point, NC",11,28
"Islip, NY",11,21
"Wilmington, NC",11,13
"Oakland, CA",11,131
"Muskegon, MI",11,3
"Jackson, WY",11,4
"Idaho Falls, ID",11,9
"Pensacola, FL",11,31
"Amarillo, TX",11,21
"Lewisburg, WV",11,2
"Lynchburg, VA",11,2
"Dubuque, IA",11,3
"Duluth, MN",11,9
"Lexington, KY",11,26
"New Bern/Morehead/Beaufort, NC",11,3
"Great Falls, MT",11,5
"Allentown/Bethlehem/Easton, PA",11,12
"Fargo, ND",11,20
"Harlingen/San Benito, TX",11,15
"Mobile, AL",11,20
"Portland, ME",11,15
"Eugene, OR",11,14
"Scranton/Wilkes-Barre, PA",11,6
"Baltimore, MD",11,301
"College Station/Bryan, TX",11,1
"Columbus, OH",11,89
"Aspen, CO",11,5
"Carlsbad, CA",11,6
"St. George, UT",11,7
"Des Moines, IA",11,38
"Ponce, PR",11,2
"Kalamazoo, MI",11,8
"Houston, TX",11,691
"Syracuse, NY",11,29
"Savannah, GA",11,28
"Dayton, OH",11,39
"Hilo, HI",11,20
"Mosinee, WI",11,5
"Lansing, MI",11,10
"Binghamton, NY",11,3
"Nome, AK",11,3
"Santa Maria, CA",11,4
"Baton Rouge, LA",11,27
"Tyler, TX",11,2
"Klamath Falls, OR",11,3
"North Bend/Coos Bay, OR",11,2
"Fayetteville, AR",11,42
"Gulfport/Biloxi, MS",11,18
"Petersburg, AK",11,2
"Casper, WY",11,6
"Dallas/Fort Worth, TX",11,750
"Fort Smith, AR",11,6
"Sacramento, CA",11,123
"Christiansted, VI",11,1
"Cedar Rapids/Iowa City, IA",11,16
"San Diego, CA",11,215
"Fresno, CA",11,33
"Bethel, AK",11,3
"Meridian, MS",11,2
"Rochester, NY",11,37
"Ketchikan, AK",11,6
"Lubbock, TX",11,22
"Reno, NV",11,60
"Moline, IL",11,18
"Ithaca/Cortland, NY",11,3
"Aguadilla, PR",11,4
"Charleston/Dunbar, WV",11,15
"Crescent City, CA",11,1
"Hartford, CT",11,66
"Colorado Springs, CO",11,35
"Columbia, SC",11,25
"Sitka, AK",11,3
"Pocatello, ID",11,4
"Kahului, HI",11,54
"Fort Myers, FL",11,73
"Albany, NY",11,33
"Columbia, MO",11,3
"Melbourne, FL",11,5
"Kalispell, MT",11,6
"Longview, TX",11,1
"Kodiak, AK",11,2
"Arcata/Eureka, CA",11,5
"Denver, CO",11,677
"Fairbanks, AK",11,11
"Jacksonville, FL",11,91
"Charlottesville, VA",11,3
"Harrisburg, PA",11,20
"Hayden, CO",11,2
"Kona, HI",11,30
"Ashland, WV",11,2
"Detroit, MI",11,456
"Cincinnati, OH",11,154
"Sarasota/Bradenton, FL",11,16
"Albuquerque, NM",11,95
"Barrow, AK",11,3
"Norfolk, VA",11,48
"Charleston, SC",11,36
"South Bend, IN",11,14
"Kansas City, MO",11,144
"Monterey, CA",11,14
"San Francisco, CA",11,391
"Cedar City, UT",11,2
"Lafayette, LA",11,15
"Greer, SC",11,33
"Nashville, TN",11,157
"Seattle, WA",11,272
"Miami, FL",11,183
"Cody, WY",11,3
"Hancock/Houghton, MI",11,2
"Rapid City, SD",11,16
"Lihue, HI",11,29
"Los Angeles, CA",11,560
"Salt Lake City, UT",11,353
"Las Vegas, NV",11,409
"Sun Valley/Hailey/Ketchum, ID",11,5
"Green Bay, WI",11,16
"Providence, RI",11,59
"Asheville, NC",11,15
"New York, NY",11,571
"Newport News/Williamsburg, VA",11,15
"San Jose, CA",11,115
"Burlington, VT",11,15
"Lincoln, NE",11,9
"Fort Wayne, IN",11,13
"Tulsa, OK",11,59
"Birmingham, AL",11,60
"Roswell, NM",11,3
"Bangor, ME",11,1
"Boston, MA",11,335
"Modesto, CA",11,5
"Austin, TX",11,124
"Butte, MT",11,2
"Killeen, TX",11,11
"Richmond, VA",11,53
"Akron, OH",11,22
"Huntsville, AL",11,32
"Long Beach, CA",11,38
"Abilene, TX",11,7
"Wrangell, AK",11,2
"Columbus, GA",11,6
"Panama City, FL",11,19
"Jackson/Vicksburg, MS",11,34
"Shreveport, LA",11,14
"Midland/Odessa, TX",11,23
"Bakersfield, CA",11,9
"Rochester, MN",11,11
"Louisville, KY",11,51
"Washington, DC",11,454
"Cleveland, OH",11,165
"Columbus, MS",11,2
"Charlotte Amalie, VI",11,5
"Helena, MT",11,5
"Honolulu, HI",11,133
"Daytona Beach, FL",11,4
"San Luis Obispo, CA",11,14
"Saginaw/Bay City/Midland, MI",11,12
"Peoria, IL",11,10
"San Antonio, TX",11,114
"Champaign/Urbana, IL",11,6
"Marquette, MI",11,4
"Roanoke, VA",11,10
"Santa Ana, CA",11,122
"Alexandria, LA",11,10
"Yuma, AZ",11,11
"Dothan, AL",11,4
"Burbank, CA",11,75
"Bristol/Johnson City/Kingsport, TN",11,11
"Rock Springs, WY",11,5
"Brunswick, GA",11,3
"Erie, PA",11,3
"Orlando, FL",11,319
"Myrtle Beach, SC",11,12
"Milwaukee, WI",11,125
"Grand Junction, CO",11,16
"Augusta, GA",11,12
"Mission/McAllen/Edinburg, TX",11,13
"Inyokern, CA",11,3
"La Crosse, WI",11,8
"Valparaiso, FL",11,22
"Brownsville, TX",11,7
"Toledo, OH",11,3
"El Paso, TX",11,62
"Gunnison, CO",11,1
"Phoenix, AZ",11,511
"Atlantic City, NJ",11,2
"Raleigh/Durham, NC",11,148
"Palm Springs, CA",11,31
"Yakutat, AK",11,2
"Laredo, TX",11,8
"Twin Falls, ID",11,4
"Evansville, IN",11,12
"Kotzebue, AK",11,3
"Knoxville, TN",11,39
"Eagle, CO",11,2
"El Centro, CA",11,2
"Manhattan/Ft. Riley, KS",11,3
"Fayetteville, NC",11,12
"Gillette, WY",11,4
"Bend/Redmond, OR",11,8
"Pasco/Kennewick/Richland, WA",11,10
"Texarkana, AR",11,3
"Montgomery, AL",11,13
"Tucson, AZ",11,61
"Wichita, KS",11,34
"Appleton, WI",11,13
"West Palm Beach/Palm Beach, FL",11,65
"Bismarck/Mandan, ND",11,11
"Albany, GA",11,3
"White Plains, NY",11,32
"Buffalo, NY",11,71
"Santa Barbara, CA",11,28
"Jacksonville/Camp Lejeune, NC",11,5
"Minneapolis, MN",11,366
"Billings, MT",11,10
"Newburgh/Poughkeepsie, NY",11,6
